province,age_group,sex,population,age_category
Girona,9 years,females,4092.0,underage
Girona,9 years,total,8416.0,underage
Girona,10 years,males,4266.0,underage
Girona,10 years,females,4159.0,underage
Girona,10 years,total,8425.0,underage
Girona,11 years,males,4187.0,underage
Girona,11 years,females,4020.0,underage
Girona,11 years,total,8207.0,underage
Girona,12 years,males,3999.0,underage
Girona,12 years,females,3594.0,underage
Girona,12 years,total,7593.0,underage
Girona,13 years,males,3852.0,underage
Girona,13 years,females,3748.0,underage
Girona,13 years,total,7600.0,underage
Girona,14 years,males,3960.0,underage
Girona,14 years,females,3782.0,underage
Girona,14 years,total,7742.0,underage
Girona,15 years,males,3828.0,underage
Girona,15 years,females,3516.0,underage
Girona,15 years,total,7344.0,underage
Girona,16 years,males,3788.0,underage
Girona,16 years,females,3480.0,underage
Girona,16 years,total,7268.0,underage
Girona,17 years,males,3808.0,underage
Girona,17 years,females,3519.0,underage
Girona,17 years,total,7327.0,underage
Girona,18 years,males,3816.0,young
Girona,18 years,females,3453.0,young
Girona,18 years,total,7269.0,young
Girona,19 years,males,3756.0,young
Girona,19 years,females,3381.0,young
Girona,19 years,total,7137.0,young
Girona,20 years,males,3860.0,young
Girona,20 years,females,3577.0,young
Girona,20 years,total,7437.0,young
Girona,21 years,males,3959.0,young
Girona,21 years,females,3528.0,young
Girona,21 years,total,7487.0,young
Girona,22 years,males,3908.0,young
Girona,22 years,females,3775.0,young
Girona,22 years,total,7683.0,young
Girona,23 years,males,3968.0,young
Girona,23 years,females,3817.0,young
Girona,23 years,total,7785.0,young
Girona,24 years,males,4031.0,young
Girona,24 years,females,3893.0,young
Girona,24 years,total,7924.0,young
Girona,25 years,males,3948.0,young
Girona,25 years,females,4073.0,young
Girona,25 years,total,8021.0,young
Girona,26 years,males,4074.0,young
Girona,26 years,females,4181.0,young
Girona,26 years,total,8255.0,young
Girona,27 years,males,4260.0,young
Girona,27 years,females,4242.0,young
Girona,27 years,total,8502.0,young
Girona,28 years,males,4256.0,young
Girona,28 years,females,4449.0,young
Girona,28 years,total,8705.0,young
Girona,29 years,males,4584.0,young
Girona,29 years,females,4650.0,young
Girona,29 years,total,9234.0,young
Girona,30 years,males,4846.0,young
Girona,30 years,females,4777.0,young
Girona,30 years,total,9623.0,young
Girona,31 years,males,4948.0,middle
Girona,31 years,females,5029.0,middle
Girona,31 years,total,9977.0,middle
Girona,32 years,males,5338.0,middle
Girona,32 years,females,5305.0,middle
Girona,32 years,total,10643.0,middle
Girona,33 years,males,5841.0,middle
Girona,33 years,females,5590.0,middle
Girona,33 years,total,11431.0,middle
Girona,34 years,males,6264.0,middle
Girona,34 years,females,6111.0,middle
Girona,34 years,total,12375.0,middle
Girona,35 years,males,6498.0,middle
Girona,35 years,females,6158.0,middle
Girona,35 years,total,12656.0,middle
Girona,36 years,males,6917.0,middle
Girona,36 years,females,6426.0,middle
Girona,36 years,total,13343.0,middle
Girona,37 years,males,7078.0,middle
Girona,37 years,females,6420.0,middle
Girona,37 years,total,13498.0,middle
Girona,38 years,males,7046.0,middle
Girona,38 years,females,6359.0,middle
Girona,38 years,total,13405.0,middle
Girona,39 years,males,6971.0,middle
Girona,39 years,females,6334.0,middle
Girona,39 years,total,13305.0,middle
Girona,40 years,males,6839.0,middle
Girona,40 years,females,6345.0,middle
Girona,40 years,total,13184.0,middle
Girona,41 years,males,6729.0,middle
Girona,41 years,females,6107.0,middle
Girona,41 years,total,12836.0,middle
Girona,42 years,males,6679.0,middle
Girona,42 years,females,6033.0,middle
Girona,42 years,total,12712.0,middle
Girona,43 years,males,6466.0,middle
Girona,43 years,females,5909.0,middle
Girona,43 years,total,12375.0,middle
Girona,44 years,males,6426.0,middle
Girona,44 years,females,5764.0,middle
Girona,44 years,total,12190.0,middle
Girona,45 years,males,6147.0,middle
Girona,45 years,females,5777.0,middle
Girona,45 years,total,11924.0,middle
Girona,46 years,males,6107.0,middle
Girona,46 years,females,5645.0,middle
Girona,46 years,total,11752.0,middle
Girona,47 years,males,5998.0,middle
Girona,47 years,females,5721.0,middle
Girona,47 years,total,11719.0,middle
Girona,48 years,males,5998.0,middle
Girona,48 years,females,5464.0,middle
Girona,48 years,total,11462.0,middle
Girona,49 years,males,5947.0,middle
Girona,49 years,females,5459.0,middle
Girona,49 years,total,11406.0,middle
Girona,50 years,males,5945.0,middle
Girona,50 years,females,5651.0,middle
Girona,50 years,total,11596.0,middle
Girona,51 years,males,5532.0,middle
Girona,51 years,females,5276.0,middle
Girona,51 years,total,10808.0,middle
Girona,52 years,males,5448.0,middle
Girona,52 years,females,5262.0,middle
Girona,52 years,total,10710.0,middle
Girona,53 years,males,5334.0,middle
Girona,53 years,females,4972.0,middle
Girona,53 years,total,10306.0,middle
Girona,54 years,males,5254.0,middle
Girona,54 years,females,5079.0,middle
Girona,54 years,total,10333.0,middle
Girona,55 years,males,5053.0,middle
Girona,55 years,females,4990.0,middle
Girona,55 years,total,10043.0,middle
